F_Data.F01.1.0005	FEE
F_Data.F01.1.0006	YET HE STILL THINKS AS SWIFTLY AS EVER
F_Data.F01.1.0007	SHEET
F_Data.F01.1.0008	KNEW
F_Data.F01.1.0009	LEFT
F_Data.F01.1.0010	AIR
F_Data.F01.1.0011	TORN
F_Data.F01.1.0012	BORN
F_Data.F01.1.0013	TRAIT
F_Data.F01.1.0014	STUBBLE
F_Data.F01.1.0015	YOU WISHED TO KNOW ALL ABOUT MY GRANDFATHER
F_Data.F01.1.0016	CHAIR
F_Data.F01.1.0017	STICKS
F_Data.F01.1.0018	STORM
F_Data.F01.1.0019	RAGE
F_Data.F01.1.0020	TRACE
F_Data.F01.1.0021	GO
F_Data.F01.1.0022	BEAT
F_Data.F01.1.0023	HAIR
F_Data.F01.1.0024	JACKET
F_Data.F01.1.0025	HE DRESSED HIMSELF IN AN ANCIENT BLACK FROCK COAT
F_Data.F01.1.0026	SWARM
F_Data.F01.1.0027	USUALLY MINUS SEVERAL BUTTONS 
F_Data.F01.1.0028	STORE
F_Data.F01.1.0029	KNEW
F_Data.F01.1.0030	CHAIR
F_Data.F01.1.0031	CHAIR
F_Data.F01.1.0032	NO
F_Data.F01.1.0033	SPARK
F_Data.F01.1.0034	GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE
F_Data.F01.1.0035	TIP
F_Data.F01.1.0036	DUG
F_Data.F01.1.0037	WEED
F_Data.F01.1.0038	SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
F_Data.F01.1.0039	GROW
F_Data.F01.1.0040	TWO
F_Data.F01.1.0041	TWO
F_Data.F01.1.0042	DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
F_Data.F01.1.0043	BUT HE ALWAYS ANSWERS BANANA OIL 
F_Data.F01.1.0044	AIR
F_Data.F01.1.0045	RAKE
F_Data.F01.1.0046	WELL HE IS NEARLY NINETYTHREE YEARS OLD 
F_Data.F01.1.0047	GLOW
F_Data.F01.1.0048	KNEE
F_Data.F01.1.0051	PARK
F_Data.F01.1.0052	HORN
F_Data.F01.1.0053	STORM
F_Data.F01.1.0054	GOAT
F_Data.F01.1.0055	DARK
F_Data.F01.1.0056	BIT
F_Data.F01.1.0057	THE
F_Data.F01.1.0058	GADGET
F_Data.F01.1.0059	RACE
F_Data.F01.1.0060	RAID
F_Data.F01.1.0061	HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY
F_Data.F01.1.0062	YES
F_Data.F01.1.0063	GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT
F_Data.F01.1.0064	FAIR
F_Data.F01.1.0065	THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
F_Data.F01.1.0066	READ
F_Data.F01.1.0067	TWICE EACH DAY HE PLAYS SKILLFULLY AND WITH ZEST UPON OUR SMALL ORGAN
F_Data.F01.1.0068	WARM
F_Data.F01.1.0069	A WOMAN WASHING THE DISHES WATER SPILLING UNDER THE SINK TWO KIDS GETTING INTO THE CUPBOARD THE CREAKY JAR
F_Data.F01.1.0070	FEED
F_Data.F01.1.0072	BUG
F_Data.F01.1.0073	SWARM
F_Data.F01.1.0074	RANGE
F_Data.F01.1.0075	FLOOR
F_Data.F01.1.0076	JAGGED
F_Data.F01.1.0078	RATE
F_Data.F01.1.0079	READ
F_Data.F01.1.0080	TROUBLE
F_Data.F01.1.0081	RAIN
F_Data.F01.1.0082	CORN
F_Data.F01.1.0083	RIGHT
F_Data.F01.1.0084	KNOW
F_Data.F01.1.0085	FEET
F_Data.F01.1.0086	BETA
F_Data.F01.1.0087	BETA
F_Data.F01.1.0088	INPUTIMAGESSTORYSTARTERS15JPG
F_Data.F01.1.0089	DOUBLE
F_Data.F01.1.0090	RAVE
F_Data.F01.1.0091	EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS
F_Data.F01.1.0092	EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS
F_Data.F01.1.0093	TRADE
F_Data.F01.1.0094	ALPHA
F_Data.F01.1.0095	BUBBLE
F_Data.F01.1.0096	SHIP
F_Data.F01.1.0097	FORM
F_Data.F01.1.0098	FOR
F_Data.F01.1.0099	SHARE
F_Data.F01.1.0100	WHEN HE SPEAKS HIS VOICE IS JUST A BIT CRACKED AND QUIVERS A TRIFLE
F_Data.F01.1.0101	TRAIN
F_Data.F01.1.0102	FEED
F_Data.F01.1.0103	SIP
F_Data.F01.1.0104	PAT
F_Data.F01.1.0105	TEAR
F_Data.F01.1.0106	TEAR
F_Data.F01.1.0107	STICK
F_Data.F01.1.0108	LEAD
F_Data.F01.1.0109	CAR
F_Data.F01.1.0110	WARM
F_Data.F01.1.0111	BEAT
F_Data.F01.1.0112	WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS 
F_Data.F01.1.0113	SLIP
F_Data.F01.1.0114	ONE
F_Data.F01.1.0115	SIP
F_Data.F01.1.0116	SIP
F_Data.F01.1.0117	SWORE
F_Data.F01.1.0118	FEET
F_Data.F01.1.0120	A LONG FLOWING BEARD CLINGS TO HIS CHIN 
F_Data.F01.1.0121	DOWN
F_Data.F01.1.0122	DAGGER
F_Data.F01.1.0123	MEAT
F_Data.F01.1.0124	FARM
F_Data.F01.1.0125	BAT
F_Data.F01.1.0126	UP
F_Data.F01.1.0127	KNEW
F_Data.F01.1.0128	SLEEP
F_Data.F01.1.0129	PILE
F_Data.F01.1.0130	YOU'D BE BETTER OFF TAKING A COLD SHOWER
F_Data.F01.1.0131	YOU'D BE BETTER OFF TAKING A COLD SHOWER
F_Data.F01.1.0132	SWAY
