M01.2_3.0001	ONE
M01.2_3.0002	AIR
M01.2_3.0003	GADGET
M01.2_3.0004	KNEE
M01.2_3.0005	RACE
M01.2_3.0006	TORN
M01.2_3.0007	TEAR
M01.2_3.0008	GROW
M01.2_3.0009	STORE
M01.2_3.0010	SHEET
M01.2_3.0011	RANGE
M01.2_3.0012	SIP
M01.2_3.0013	THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
M01.2_3.0014	THE
M01.2_3.0015	SWORE
M01.2_3.0016	TRAIN
M01.2_3.0017	BEAT
M01.2_3.0018	CHAIR
M01.2_3.0019	DARK
M01.2_3.0020	FEED
M01.2_3.0022	FLOOR
M01.2_3.0023	SIP
M01.2_3.0024	FEET
M01.2_3.0025	WISH
M01.2_3.0026	SIGH
M01.2_3.0027	TROOP
M01.2_3.0028	MERE
M01.2_3.0029	I WAS CONSCIOUS ALL THE TIME
M01.2_3.0030	SLIP
M01.2_3.0031	FATE
M01.2_3.0032	POT
M01.2_3.0033	WE GATHERED SHELLS ON THE BEACH
M01.2_3.0034	PAY
M01.2_3.0035	WHERE WERE YOU WHILE WE WERE AWAY 
M01.2_3.0036	PILE
M01.2_3.0037	AIR
M01.2_3.0038	GALORE
M01.2_3.0039	BAD
M01.2_3.0040	PLAY
M01.2_3.0041	URGENT
M01.2_3.0042	THE ISLANDS ARE SPARSELY POPULATED
M01.2_3.0043	BOTH FIGURES WOULD GO HIGHER IN LATER YEARS
M01.2_3.0044	BACK
M01.2_3.0045	ONE VALIDATED ACT OF SCHOOL DISTRICTS 
M01.2_3.0046	KNEW
M01.2_3.0047	FORWARD
M01.2_3.0048	SHOOT
M01.2_3.0049	SHEAR
M01.2_3.0050	SUIT
M01.2_3.0051	DROOP
M01.2_3.0053	PEER
M01.2_3.0054	JAW
M01.2_3.0055	GNAW
M01.2_3.0056	ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S 
M01.2_3.0057	ROOT
M01.2_3.0058	WITCH
M01.2_3.0059	THREE
M01.2_3.0060	ERROR
M01.2_3.0061	I FEEL I CAN PLAY THIS WEEKEND
M01.2_3.0062	SIGH
M01.2_3.0063	ROCK
M01.2_3.0064	TILE
M01.2_3.0065	SUIT
M01.2_3.0066	TWO OTHER CASES ALSO WERE UNDER ADD ADVISEMENT 
M01.2_3.0067	CHARLIE
M01.2_3.0068	BOOT
M01.2_3.0069	I TRIED TO TELL PEOPLE IN THE COMMUNITY
M01.2_3.0070	AREA
M01.2_3.0071	STEER
M01.2_3.0072	DEER
M01.2_3.0073	BEAR
M01.2_3.0075	BAD
M01.2_3.0076	THE HUMIDITY IS OVERWHELMING THERE
M01.2_3.0077	FEAR
M01.2_3.0078	SHE IS THINNER THAN I AM 
M01.2_3.0079	PAT
M01.2_3.0080	THOUGH
M01.2_3.0081	TIE
M01.2_3.0082	SNOOP
M01.2_3.0083	THE BABY DOESN'T WANT TO EAT THE FOOD
M01.2_3.0084	JANE MAY EARN MORE MONEY BY WORKING HARD 
M01.2_3.0085	HERE
M01.2_3.0086	JUST ONE SIDE GOT WET
M01.2_3.0087	THIGH
M01.2_3.0088	MOTHER SEWS YELLOW GINGHAM APRONS
M01.2_3.0089	FLOOR
M01.2_3.0090	LIP
M01.2_3.0091	SLEEP
M01.2_3.0092	HATE
M01.2_3.0093	GROUP
M01.2_3.0094	I LOOKED UP AND NOTICED TWO OLD MEN
M01.2_3.0095	I SCRUBBED THE FLOORS THOROUGHLY
M01.2_3.0096	I JUST TRY TO DO MY BEST
M01.2_3.0097	BRIAR
M01.2_3.0098	CYCLE
M01.2_3.0099	SIGH
M01.2_3.0100	ATE
M01.2_3.0101	KNOT
M01.2_3.0102	BAT
