M_Data.M01.2_3.0001	ONE
M_Data.M01.2_3.0002	AIR
M_Data.M01.2_3.0003	GADGET
M_Data.M01.2_3.0004	KNEE
M_Data.M01.2_3.0005	RACE
M_Data.M01.2_3.0006	TORN
M_Data.M01.2_3.0007	TEAR
M_Data.M01.2_3.0008	GROW
M_Data.M01.2_3.0009	STORE
M_Data.M01.2_3.0010	SHEET
M_Data.M01.2_3.0011	RANGE
M_Data.M01.2_3.0012	SIP
M_Data.M01.2_3.0013	THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
M_Data.M01.2_3.0014	THE
M_Data.M01.2_3.0015	SWORE
M_Data.M01.2_3.0016	TRAIN
M_Data.M01.2_3.0017	BEAT
M_Data.M01.2_3.0018	CHAIR
M_Data.M01.2_3.0019	DARK
M_Data.M01.2_3.0020	FEED
M_Data.M01.2_3.0022	FLOOR
M_Data.M01.2_3.0023	SIP
M_Data.M01.2_3.0024	FEET
M_Data.M01.2_3.0025	WISH
M_Data.M01.2_3.0026	SIGH
M_Data.M01.2_3.0027	TROOP
M_Data.M01.2_3.0028	MERE
M_Data.M01.2_3.0029	I WAS CONSCIOUS ALL THE TIME
M_Data.M01.2_3.0030	SLIP
M_Data.M01.2_3.0031	FATE
M_Data.M01.2_3.0032	POT
M_Data.M01.2_3.0033	WE GATHERED SHELLS ON THE BEACH
M_Data.M01.2_3.0034	PAY
M_Data.M01.2_3.0035	WHERE WERE YOU WHILE WE WERE AWAY 
M_Data.M01.2_3.0036	PILE
M_Data.M01.2_3.0037	AIR
M_Data.M01.2_3.0038	GALORE
M_Data.M01.2_3.0039	BAD
M_Data.M01.2_3.0040	PLAY
M_Data.M01.2_3.0041	URGENT
M_Data.M01.2_3.0042	THE ISLANDS ARE SPARSELY POPULATED
M_Data.M01.2_3.0043	BOTH FIGURES WOULD GO HIGHER IN LATER YEARS
M_Data.M01.2_3.0044	BACK
M_Data.M01.2_3.0045	ONE VALIDATED ACTS OF SCHOOL DISTRICTS 
M_Data.M01.2_3.0046	KNEW
M_Data.M01.2_3.0047	FORWARD
M_Data.M01.2_3.0048	SHOOT
M_Data.M01.2_3.0049	SHEAR
M_Data.M01.2_3.0050	SUIT
M_Data.M01.2_3.0051	DROOP
M_Data.M01.2_3.0053	PEER
M_Data.M01.2_3.0054	JAW
M_Data.M01.2_3.0055	GNAW
M_Data.M01.2_3.0056	ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S 
M_Data.M01.2_3.0057	ROOT
M_Data.M01.2_3.0058	WITCH
M_Data.M01.2_3.0059	THREE
M_Data.M01.2_3.0060	ERROR
M_Data.M01.2_3.0061	I FEEL I CAN PLAY THIS WEEKEND
M_Data.M01.2_3.0062	SIGH
M_Data.M01.2_3.0063	ROCK
M_Data.M01.2_3.0064	TILE
M_Data.M01.2_3.0065	SUIT
M_Data.M01.2_3.0066	TWO OTHER CASES ALSO WERE UNDER ADVISEMENT 
M_Data.M01.2_3.0067	CHARLIE
M_Data.M01.2_3.0068	BOOT
M_Data.M01.2_3.0069	I TRIED TO TELL PEOPLE IN THE COMMUNITY
M_Data.M01.2_3.0070	AREA
M_Data.M01.2_3.0071	STEER
M_Data.M01.2_3.0072	DEER
M_Data.M01.2_3.0073	BEAR
M_Data.M01.2_3.0075	BAD
M_Data.M01.2_3.0076	THE HUMIDITY IS OVERWHELMING THERE
M_Data.M01.2_3.0077	FEAR
M_Data.M01.2_3.0078	SHE IS THINNER THAN I AM 
M_Data.M01.2_3.0079	PAT
M_Data.M01.2_3.0080	THOUGH
M_Data.M01.2_3.0081	TIE
M_Data.M01.2_3.0082	SNOOP
M_Data.M01.2_3.0083	THE BABY DOESN'T WANT TO EAT THE FOOD
M_Data.M01.2_3.0084	JANE MAY EARN MORE MONEY BY WORKING HARD 
M_Data.M01.2_3.0085	HERE
M_Data.M01.2_3.0086	JUST ONE SIDE GOT WET
M_Data.M01.2_3.0087	THIGH
M_Data.M01.2_3.0088	MOTHER SEWS YELLOW GINGHAM APRONS
M_Data.M01.2_3.0089	FLOOR
M_Data.M01.2_3.0090	LIP
M_Data.M01.2_3.0091	SLEEP
M_Data.M01.2_3.0092	HATE
M_Data.M01.2_3.0093	GROUP
M_Data.M01.2_3.0094	I LOOKED UP AND NOTICED TWO OLD MEN
M_Data.M01.2_3.0095	I SCRUBBED THE FLOORS THOROUGHLY
M_Data.M01.2_3.0096	I JUST TRY TO DO MY BEST
M_Data.M01.2_3.0097	BRIAR
M_Data.M01.2_3.0098	CYCLE
