M02.1.0006	GROW
M02.1.0007	FEED
M02.1.0008	ALPHA
M02.1.0009	PAT
M02.1.0010	FARM
M02.1.0012	SIP
M02.1.0013	A LADY WASHING DISHES AND A GUY PUTTING AWAY DISHES FALLING OFF A STOOL
M02.1.0014	DAGGER
M02.1.0015	RAIN
M02.1.0016	FAIR
M02.1.0017	FEET
M02.1.0018	SHIP
M02.1.0019	PARK
M02.1.0020	GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE
M02.1.0021	BUBBLE
M02.1.0022	BIT
M02.1.0023	WELL HE IS NEARLY NINETYTHREE YEARS OLD 
M02.1.0024	TROUBLE
M02.1.0025	CHAIR
M02.1.0026	RAID
M02.1.0027	THE
M02.1.0028	GADGET
M02.1.0029	ONE
M02.1.0030	TORN
M02.1.0031	GO
M02.1.0032	SWARM
M02.1.0033	SHARE
M02.1.0034	GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT
M02.1.0035	I CAN
M02.1.0036	I CAN READ
M02.1.0038	FEET
M02.1.0040	RATE
M02.1.0041	KNEW
M02.1.0042	TIP
M02.1.0043	KNOW
M02.1.0044	HE DRESSES HIMSELF IN AN ANCIENT BLACK FROCK COAT 
M02.1.0045	YES
M02.1.0046	TEAR
M02.1.0047	STORE
M02.1.0048	CHAIR
M02.1.0049	SWARM
M02.1.0051	BAT
M02.1.0052	KID LOOKING AT A BASKET OF TOYS
M02.1.0053	STUBBLE
M02.1.0054	TRAIT
M02.1.0055	SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
M02.1.0056	HORN
M02.1.0057	LEAD
M02.1.0058	SHEET
M02.1.0059	BETA
M02.1.0060	SLIP
M02.1.0061	BEAT
M02.1.0062	WHEN HE SPEAKS HIS VOICE IS JUST A BIT CRACKED AND QUIVERS A TRIFLE
M02.1.0063	CAR
M02.1.0064	KNEE
M02.1.0065	NO
M02.1.0066	YET HE STILL THINKS AS SWIFTLY AS EVER
M02.1.0067	USUALLY MINUS SEVERAL BUTTONS 
M02.1.0068	FLOOR
M02.1.0069	TRAIN
M02.1.0070	WEED
M02.1.0071	WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS 
M02.1.0072	LEFT
M02.1.0073	BORN
M02.1.0074	BEAT
M02.1.0075	KNEW
M02.1.0076	RIGHT
M02.1.0077	RANGE
M02.1.0078	SIP
M02.1.0079	STICK
M02.1.0080	HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY
M02.1.0081	STORM
M02.1.0083	DOUBLE
M02.1.0084	DOWN
M02.1.0085	FEE
M02.1.0086	GLOW
M02.1.0087	FORM
M02.1.0088	WARM
M02.1.0089	RAVE
M02.1.0090	WARM
M02.1.0091	SIP
M02.1.0092	TWICE EACH DAY HE PLAYS SKILLFULLY AND WITH ZEST UPON OUR SMALL ORGAN
M02.1.0093	DUG
M02.1.0094	STORM
M02.1.0095	MEAT
M02.1.0096	SWORE
M02.1.0097	UP
M02.1.0098	A LONG FLOWING BEARD CLINGS TO HIS CHIN 
M02.1.0099	DARK
M02.1.0100	RAKE
M02.1.0101	RACE
M02.1.0102	AIR
M02.1.0103	I CAN READ
M02.1.0104	AIR
M02.1.0105	JACKET
M02.1.0106	DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
M02.1.0107	RAGE
M02.1.0108	HAIR
M02.1.0109	BUG
M02.1.0110	FOR
M02.1.0111	GOAT
M02.1.0112	JAGGED
M02.1.0113	CORN
M02.1.0114	SPARK
M02.1.0115	EXCEPT THE WINTER EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS
M02.1.0116	FEED
M02.1.0117	THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
M02.1.0118	BUT HE ALWAYS ANSWERS BANANA OIL 
M02.1.0119	TWO
M02.1.0120	TRADE
M02.1.0121	YOU WISHED TO KNOW ALL ABOUT MY GRANDFATHER
M02.1.0122	TRACE
M02.1.0123	CYCLE
M02.1.0124	ERROR
M02.1.0125	OF
M02.1.0126	I JUST TRY TO DO MY BEST
M02.1.0127	BOTH FIGURES WOULD GO HIGHER IN LATER YEARS
M02.1.0128	MENU
M02.1.0129	SIDE
M02.1.0130	I TRIED TO TELL PEOPLE IN THE COMMUNITY
M02.1.0131	SIGH
M02.1.0132	LOOP
M02.1.0133	HERE
M02.1.0134	AREA
M02.1.0135	WHY YELL OR WORRY OVER SILLY ITEMS 
M02.1.0136	HEAR
