M_Data.M02.2.0076	GROUP
M_Data.M02.2.0077	GNAW
M_Data.M02.2.0078	THE HUMIDITY IS OVERWHELMING THERE
M_Data.M02.2.0080	AIR
M_Data.M02.2.0081	SELECT
M_Data.M02.2.0082	YES
M_Data.M02.2.0083	TOOT
M_Data.M02.2.0084	BAD
M_Data.M02.2.0085	WHITE
M_Data.M02.2.0086	MY SISTER MADE THE FLOWERED CURTAINS
M_Data.M02.2.0087	LIP
M_Data.M02.2.0088	TWO OTHER CASES ALSO WERE UNDER ADVISEMENT 
M_Data.M02.2.0089	BRIAR
M_Data.M02.2.0090	WHERE WERE YOU WHILE WE WERE AWAY 
M_Data.M02.2.0091	SLEEP
M_Data.M02.2.0092	COUPE
M_Data.M02.2.0094	PAT
M_Data.M02.2.0095	AND
M_Data.M02.2.0096	A ROLL OF WIRE LAY NEAR THE WALL
M_Data.M02.2.0097	ECHO
M_Data.M02.2.0098	ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
M_Data.M02.2.0099	FAT
M_Data.M02.2.0100	MIKE
M_Data.M02.2.0101	SEEDS
M_Data.M02.2.0102	SELL
M_Data.M02.2.0103	BROUGHT
M_Data.M02.2.0104	STUDENTS WATCHED AS HE GOT OUT
M_Data.M02.2.0105	AT
M_Data.M02.2.0106	PRETTY
M_Data.M02.2.0107	SIGH
M_Data.M02.2.0108	PITTING
M_Data.M02.2.0109	LICK
M_Data.M02.2.0110	LICK
M_Data.M02.2.0111	BOTH INJURIES WERE TO THE SAME LEG
M_Data.M02.2.0112	TELL
M_Data.M02.2.0113	LAIR
M_Data.M02.2.0114	VAT
M_Data.M02.2.0115	KILO
M_Data.M02.2.0116	WITTY
M_Data.M02.2.0117	THE DOLPHINS SWAM AROUND OUR BOAT
M_Data.M02.2.0118	LIMA
M_Data.M02.2.0119	THE MISGUIDED SOULS HAVE LOST THEIR WAY
M_Data.M02.2.0120	PAPA
M_Data.M02.2.0121	THIS IS A PERIOD OF TRANSITION FOR ME
M_Data.M02.2.0122	DARK
M_Data.M02.2.0123	HEM
M_Data.M02.2.0124	LOYAL
M_Data.M02.2.0125	SIGN
M_Data.M02.2.0126	WRITTEN
M_Data.M02.2.0127	TAKE
M_Data.M02.2.0128	BEFORE THURSDAY'S EXAM REVIEW EVERY FORMULA
M_Data.M02.2.0129	REEK
M_Data.M02.2.0130	SEED
M_Data.M02.2.0131	THE BOX CONTAINED THREE SWEATERS
M_Data.M02.2.0132	BRAWN
M_Data.M02.2.0133	ALIMONY HARMS A DIVORCED MAN'S WEALTH
M_Data.M02.2.0134	IT ALSO PROVIDES FOR FUNDS TO CLEAR SLUMS AND HELP COLLEGES BUILD DORMITORIES
M_Data.M02.2.0135	BIT
M_Data.M02.2.0136	KNITTING
M_Data.M02.2.0137	THIS IS NOT A PROGRAM OF SOCIALIZED MEDICINE
M_Data.M02.2.0138	FILL
M_Data.M02.2.0139	HE WRAPPED THE PACKAGE HASTILY
M_Data.M02.2.0141	PIT
M_Data.M02.2.0142	PIT
M_Data.M02.2.0143	NOVEMBER
M_Data.M02.2.0144	EIGHT
M_Data.M02.2.0145	SIDE
M_Data.M02.2.0146	BARN
