M_Data.M04.2.0006	JAGGED
M_Data.M04.2.0007	GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE
M_Data.M04.2.0008	STICKS
M_Data.M04.2.0009	SLIP
M_Data.M04.2.0010	LEFT
M_Data.M04.2.0011	RIGHT
M_Data.M04.2.0012	FEET
M_Data.M04.2.0013	FORM
M_Data.M04.2.0014	SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
M_Data.M04.2.0015	UP
M_Data.M04.2.0016	JACKET
M_Data.M04.2.0017	STORM
M_Data.M04.2.0018	GO
M_Data.M04.2.0019	SHEET
M_Data.M04.2.0020	SPARK
M_Data.M04.2.0021	YES
M_Data.M04.2.0022	FEE
M_Data.M04.2.0023	SWARM
M_Data.M04.2.0024	GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT
M_Data.M04.2.0026	STUBBLE
M_Data.M04.2.0028	RAGE
M_Data.M04.2.0029	WHEN HE SPEAKS HIS VOICE IS JUST A BIT CRACKED AND QUIVERS A TRIFLE
M_Data.M04.2.0030	PARK
M_Data.M04.2.0031	HAIR
M_Data.M04.2.0032	DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
M_Data.M04.2.0033	EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS
M_Data.M04.2.0034	DOWN
M_Data.M04.2.0035	SIP
M_Data.M04.2.0036	KNEW
M_Data.M04.2.0037	SIP
M_Data.M04.2.0038	THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
M_Data.M04.2.0039	I CAN
M_Data.M04.2.0040	READ
M_Data.M04.2.0041	TRADE
M_Data.M04.2.0042	RATE
M_Data.M04.2.0043	MEAT
M_Data.M04.2.0044	YET HE STILL THINKS AS SWIFTLY AS EVER
M_Data.M04.2.0045	WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS 
M_Data.M04.2.0046	WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS 
M_Data.M04.2.0047	TRAIN
M_Data.M04.2.0048	A LONG FLOWING BEARD CLINGS TO HIS CHIN 
M_Data.M04.2.0049	FEED
M_Data.M04.2.0050	FEED
M_Data.M04.2.0051	FARM
M_Data.M04.2.0052	USUALLY MINUS SEVERAL BUTTONS 
M_Data.M04.2.0053	DUG
M_Data.M04.2.0054	BIT
M_Data.M04.2.0055	RACE
M_Data.M04.2.0056	SIP
M_Data.M04.2.0057	RANGE
M_Data.M04.2.0058	SHARE
M_Data.M04.2.0059	CHAIR
